cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
3;1;0;3;3;0;46;11;4;3;0;3;0;0;0;0;0;0
1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
2;1;0;2;0;0;6;0;1;1;0;1;0;0;0;0;1;0
5;1;1;5;26;0;110;14;11;8;0;8;0;1;0;0;0;0
4;2;5;4;15;2;29;3;8;6;0;6;0;2;0;1;1;0
8;3;2;8;12;0;73;24;18;13;0;11;2;1;0;0;3;0
6;1;0;6;21;0;60;14;7;7;0;7;0;0;0;0;0;0
11;1;0;11;6;0;112;41;4;4;0;4;0;1;0;0;1;0
0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
8;2;3;8;0;0;48;11;11;6;2;4;0;0;0;0;3;0
5;1;0;5;3;0;33;9;3;3;0;3;0;0;0;0;0;0
11;1;1;11;28;0;82;22;9;8;0;7;1;0;0;0;0;0
9;1;0;9;15;0;57;16;7;6;0;6;0;0;0;0;0;0
1;3;1;1;6;0;22;3;4;4;0;4;0;1;0;0;1;0
10;1;0;10;15;0;76;19;6;6;0;6;0;0;0;0;0;0
2;1;4;2;1;0;4;0;2;2;0;0;0;0;0;0;0;0
0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
5;1;0;5;64;0;125;22;13;12;0;12;0;0;0;0;0;0
4;2;3;4;0;0;67;15;17;11;0;11;0;0;0;0;1;0
2;2;4;2;0;0;10;0;2;2;0;2;0;1;0;0;1;0
0;3;0;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
18;4;2;18;21;0;207;47;45;15;0;13;2;1;0;0;5;0
6;2;1;6;10;0;22;11;5;5;0;5;0;1;0;0;1;0
0;1;3;0;0;0;11;0;2;2;0;1;0;1;0;0;1;0
0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
6;1;0;6;6;0;114;29;4;4;0;4;0;0;0;0;0;0
0;1;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
4;1;0;4;47;0;153;25;14;14;0;14;0;1;0;0;1;0
11;3;1;11;0;0;80;17;22;11;1;8;2;1;0;0;3;0
0;1;0;0;3;0;5;0;3;3;0;0;0;0;0;0;0;0
0;3;0;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
4;1;0;4;9;0;134;27;6;6;0;6;0;1;0;0;1;0
9;1;0;9;15;0;78;19;7;6;0;6;0;0;0;0;0;0
4;1;9;4;7;3;51;11;15;11;3;6;2;0;0;0;2;0
14;3;5;14;413;2;324;68;84;35;0;35;0;1;0;0;12;0
6;2;1;6;3;0;66;7;21;10;0;10;0;1;0;0;2;0
1;1;3;1;3;0;5;0;3;3;0;0;0;0;0;0;0;0
8;5;2;8;15;0;114;41;21;10;0;8;2;6;1;0;8;0
3;1;1;3;0;0;77;6;18;4;0;4;0;0;0;0;2;0
2;3;0;2;8;0;34;0;8;8;0;8;0;0;0;0;4;0
8;1;1;8;15;0;115;21;8;6;0;5;1;0;0;0;0;0
12;1;0;12;21;0;64;16;8;7;0;7;0;0;0;0;0;0
10;2;1;10;0;0;114;26;24;17;0;15;2;1;0;0;4;0
19;5;2;19;52;0;256;56;59;16;2;12;2;1;0;0;5;0
21;4;3;21;6;1;169;44;46;9;1;8;0;1;0;0;1;0
0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
3;2;4;3;0;0;11;1;2;2;0;2;0;1;0;0;1;0
3;2;0;3;0;0;5;1;1;1;0;1;0;0;0;0;0;0
6;1;0;6;15;0;87;11;6;6;0;6;0;0;0;0;0;0
2;1;1;2;15;0;86;13;15;6;0;6;0;0;0;0;0;0
3;1;0;3;3;0;20;4;3;3;0;3;0;0;0;0;0;0
2;1;2;2;0;1;20;5;6;6;0;6;0;0;1;0;0;0
1;1;3;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
10;1;0;10;15;0;85;22;7;6;0;6;0;0;0;0;0;0
2;3;0;2;0;0;7;0;1;1;0;1;0;0;0;1;0;0
1;1;5;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
5;3;2;5;16;0;108;15;28;13;0;13;0;0;0;0;2;0
5;1;0;5;6;0;50;14;4;4;0;0;0;0;0;0;0;0
2;1;0;2;6;0;35;8;4;4;0;4;0;1;0;0;1;0
3;3;0;3;1;0;20;2;2;2;0;2;0;0;0;0;0;0
4;1;0;4;10;0;82;19;5;5;0;5;0;0;0;0;0;0
4;2;20;4;29;2;59;1;16;11;0;10;0;0;0;0;4;0
11;1;0;11;21;0;66;23;8;7;0;7;0;0;0;0;0;0
1;4;1;1;0;0;3;0;0;0;0;0;0;1;0;0;1;0
5;1;0;5;15;0;55;12;6;6;0;6;0;1;0;0;1;0
5;1;0;5;46;0;54;6;15;12;0;12;0;0;1;0;0;0
4;1;1;4;0;0;15;2;4;4;0;3;1;0;0;0;0;0
2;5;3;2;0;0;24;10;4;3;1;2;0;0;0;0;1;0
1;1;2;1;0;0;55;2;13;9;0;9;0;1;0;0;4;0
16;2;37;16;2048;4;694;104;177;72;10;60;2;9;0;8;20;1
3;1;0;3;3;0;20;6;3;3;0;3;0;0;0;0;0;0
4;1;0;4;3;0;36;7;3;3;0;3;0;0;0;0;0;0
36;2;4;36;7140;1;1396;202;302;132;19;111;2;14;1;10;49;1
0;1;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
4;1;4;4;26;0;86;10;22;16;0;16;0;1;0;0;5;0
1;1;4;1;1;0;4;0;2;2;0;0;0;0;0;0;0;0
3;3;2;3;6;0;33;9;10;4;1;3;0;1;0;0;1;0
4;2;0;4;0;0;34;5;10;7;0;7;0;1;0;0;2;0
4;1;0;4;21;0;71;17;7;7;0;7;0;0;0;0;0;0
8;3;2;8;0;0;91;25;22;18;0;18;0;0;0;0;1;0
1;1;3;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
36;2;27;36;1045;18;777;147;167;54;11;42;1;1;0;0;12;0
2;1;0;2;6;0;27;6;4;4;0;4;0;1;0;0;1;0
0;4;5;0;0;0;32;8;5;5;0;5;0;0;0;0;2;0
0;3;0;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
15;1;1;15;0;0;55;19;8;5;0;4;1;0;0;0;1;0
2;1;0;2;0;0;6;0;1;1;0;1;0;0;0;0;1;0
8;2;1;8;0;0;54;22;12;9;0;7;2;1;0;0;1;0
0;1;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
10;1;56;10;11547;4;1140;108;316;159;7;150;2;11;0;8;49;0
18;4;2;18;24;0;118;31;33;9;0;8;1;1;0;0;2;0
18;3;2;18;245;0;281;72;65;30;2;26;2;1;0;0;12;0
7;1;0;7;3;0;131;35;3;3;0;3;0;0;0;0;0;0
3;1;0;3;10;0;93;18;5;5;0;5;0;0;0;0;0;0
0;2;0;0;1;0;15;1;6;2;0;2;0;0;0;0;0;0
5;1;18;5;17;0;122;4;33;19;0;19;0;7;0;1;6;0
18;2;1;18;433;0;412;99;92;38;1;35;2;0;0;0;13;0
0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
6;1;2;6;0;0;94;26;20;9;0;7;2;2;0;0;3;0
3;1;2;3;0;0;59;6;14;6;0;6;0;1;0;0;4;0
2;3;1;2;15;0;60;9;12;7;0;7;0;4;0;3;3;0
7;1;4;7;11;0;230;55;57;23;0;23;0;2;0;0;5;0
4;1;0;4;6;0;60;18;4;4;0;4;0;0;0;0;0;0
5;3;4;5;54;0;106;18;29;20;0;20;0;0;0;0;2;0
2;3;0;2;6;0;20;0;5;5;0;5;0;0;0;1;2;0
10;3;2;10;22;0;53;11;11;9;0;9;0;0;0;0;6;0
25;2;2;25;0;0;337;85;87;31;2;29;0;1;0;0;4;0
14;5;1;14;8;0;133;32;21;8;0;6;2;0;0;0;1;0
2;1;0;2;3;0;28;7;3;3;0;3;0;0;0;0;0;0
2;1;1;2;3;0;5;0;3;3;0;0;0;0;0;0;0;0
3;1;18;3;15;0;8;0;6;6;0;0;0;0;0;0;0;0
4;1;8;4;3;0;5;0;3;3;0;0;0;0;0;0;0;0
2;2;8;2;0;0;10;0;2;2;0;2;0;1;0;0;1;0
2;1;193;2;3;0;97;35;8;3;0;3;0;0;0;0;0;0
14;4;2;14;30;0;179;29;37;17;0;15;2;1;0;0;5;0
21;6;2;21;86;0;260;65;60;16;1;13;2;1;0;0;3;0
15;1;1;15;34;0;129;28;9;9;0;8;1;1;0;0;1;0
5;1;46;5;0;0;98;17;25;15;0;13;2;2;0;0;5;0
19;3;2;19;251;0;368;50;77;30;0;28;2;4;0;3;13;0
3;1;0;3;3;0;33;4;3;3;0;3;0;0;0;0;0;0
1;1;7;1;16;0;122;8;28;8;0;8;0;2;0;0;7;0
5;1;1;5;26;0;116;14;11;8;0;8;0;1;0;0;0;0
1;2;1;1;0;1;6;0;1;1;0;1;0;1;0;0;1;0
8;2;7;8;649;0;565;73;146;54;0;47;5;1;2;0;5;1
1;3;1;1;9;0;37;6;9;7;0;7;0;4;0;4;1;0
4;1;0;4;10;0;76;19;5;5;0;5;0;0;0;0;0;0
2;1;0;2;3;0;28;4;3;3;0;3;0;0;0;0;0;0
5;1;0;5;10;0;50;13;5;5;0;5;0;0;0;0;0;0
19;4;2;19;46;0;284;33;46;12;0;9;3;1;0;0;2;0
5;1;0;5;1;0;38;5;3;3;0;3;0;2;0;0;2;0
6;2;2;6;0;0;54;4;14;9;0;9;0;1;0;0;4;0
2;1;0;2;6;0;35;8;4;4;0;4;0;0;0;0;0;0
7;1;5;7;36;0;120;12;32;9;0;9;0;0;0;0;0;0
4;1;0;4;15;0;78;14;10;6;0;6;0;0;0;0;0;0
16;5;9;16;706;6;443;88;118;45;6;37;2;1;0;0;12;0
8;2;3;8;0;0;106;29;29;19;0;19;0;1;0;0;2;0
1;1;3;1;0;0;57;4;15;9;0;9;0;1;0;0;3;0
1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
5;1;1;5;78;0;124;23;13;13;0;9;4;0;0;0;0;0
7;4;2;7;0;0;110;29;27;22;0;20;2;0;0;0;1;0
1;1;1;1;3;0;5;0;3;3;0;0;0;0;0;0;0;0
2;1;0;2;3;0;29;5;3;3;0;3;0;0;0;0;0;0
6;2;33;6;614;0;403;50;104;45;0;39;5;1;1;0;7;1
8;1;1;8;1;0;27;9;3;3;0;2;1;0;0;0;1;0
10;2;1;10;150;0;153;37;41;28;1;27;0;0;0;0;2;0
5;1;6;5;0;2;113;19;24;13;5;8;0;4;0;0;6;0
0;1;5;0;28;0;41;0;38;8;0;8;0;0;0;0;0;0
7;2;2;7;58;0;155;39;44;17;0;17;0;0;0;0;4;0
0;2;1;0;1;0;32;0;2;2;0;2;0;24;0;24;0;0
0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
5;1;0;5;33;0;123;15;13;11;0;11;0;1;0;0;2;0
2;1;1;2;24;0;121;48;28;8;0;3;5;1;0;0;2;0
15;4;2;15;63;0;193;42;35;23;0;21;2;6;0;5;9;0
2;1;0;2;3;0;17;3;3;3;0;3;0;0;0;0;0;0
4;1;0;4;6;0;37;5;4;4;0;4;0;0;0;0;0;0
1;1;4;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
4;1;7;4;1;0;52;12;16;7;0;7;0;1;0;0;2;0
9;1;0;9;4;0;87;25;5;5;0;5;0;1;0;0;1;0
2;1;0;2;0;0;81;16;7;4;0;4;0;1;0;0;1;0
1;1;8;1;3;0;5;0;3;3;0;0;0;0;0;0;0;0
4;2;2;4;0;0;55;6;15;9;0;9;0;0;0;0;2;0
6;4;2;6;0;0;89;22;23;16;0;16;0;1;0;0;2;0
14;1;0;14;36;0;159;43;9;9;0;9;0;0;0;0;0;0
11;1;8;11;315;5;230;43;55;38;10;24;4;1;0;0;8;0
3;1;0;3;3;0;20;6;3;3;0;3;0;0;0;0;0;0
4;1;0;4;6;0;24;6;4;4;0;4;0;0;0;0;0;0
9;2;11;9;0;9;59;5;17;9;2;7;0;0;0;0;2;0
9;3;1;9;0;0;140;32;30;12;2;10;0;0;0;0;1;0
4;2;3;4;25;1;69;11;20;11;0;11;0;1;1;0;1;0
4;2;2;4;19;0;25;5;7;7;0;7;0;2;0;1;1;0
3;1;0;3;9;0;89;12;6;6;0;6;0;1;0;0;1;0
5;1;0;5;9;0;73;16;7;6;0;6;0;0;0;0;0;0
3;1;0;3;6;0;52;16;4;4;0;4;0;0;0;0;0;0
2;1;2;2;0;0;3;0;1;1;0;0;0;0;0;0;0;0
0;1;0;0;0;0;5;0;1;1;0;1;0;0;0;0;0;0
2;1;3;2;0;0;57;8;16;9;0;9;0;1;0;0;3;0
1;1;4;1;15;0;8;0;6;6;0;0;0;0;0;0;0;0
2;1;0;2;0;0;6;0;1;1;0;1;0;0;0;0;1;0
2;1;0;2;21;0;72;9;7;7;0;7;0;0;0;0;0;0
3;1;0;3;89;0;226;19;26;14;0;14;0;1;0;0;1;0
13;3;3;13;83;0;218;31;37;19;0;15;4;1;0;0;10;1
2;1;0;2;0;0;12;3;1;1;0;1;0;0;0;0;0;0
24;2;1;24;1369;0;615;117;128;62;5;54;3;13;1;12;23;0
3;2;38;3;11;12;29;0;7;7;0;7;0;0;0;1;3;0
4;1;0;4;3;0;26;9;3;3;0;3;0;0;0;0;0;0
8;4;3;8;0;0;101;15;29;22;0;22;0;0;0;0;2;0
0;3;0;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
4;1;0;4;21;0;102;16;7;7;0;7;0;1;0;0;1;0
3;2;6;3;0;0;175;31;38;24;0;24;0;3;0;2;5;0
3;1;0;3;3;0;43;4;3;3;0;3;0;0;0;0;0;0
5;2;1;5;15;0;60;10;17;10;0;10;0;0;0;0;0;0
7;1;1;7;351;0;283;40;31;27;0;24;3;0;0;0;0;0
5;1;1;5;654;0;387;41;43;37;0;33;4;0;0;0;4;0
3;1;0;3;10;0;53;11;5;5;0;5;0;1;0;0;1;0
3;2;10;3;0;0;44;9;12;7;0;7;0;1;0;0;2;0
21;3;5;21;262;2;402;61;106;36;6;28;2;3;0;2;11;0
4;1;0;4;3;0;28;9;3;3;0;3;0;0;0;0;0;0
3;1;4;3;6;0;6;0;4;4;0;0;0;0;0;0;0;0
6;3;1;6;6;0;39;10;9;4;1;3;0;2;0;1;1;0
1;6;3;1;4;0;24;8;5;4;0;3;1;1;1;0;1;0
3;1;0;3;3;0;24;5;3;3;0;3;0;0;0;0;0;0
4;1;0;4;6;0;25;4;4;4;0;4;0;0;0;0;0;0
3;1;11;3;3;7;29;1;7;7;0;7;0;0;0;0;2;0
9;2;4;9;0;0;49;5;11;7;0;7;0;0;0;0;4;0
0;1;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
3;3;2;3;0;0;10;0;2;2;0;2;0;0;0;0;0;0
11;5;2;11;10;0;107;33;11;8;0;7;1;4;1;0;4;0
4;1;0;4;10;0;38;10;5;5;0;5;0;0;0;0;0;0
0;4;2;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
5;1;0;5;3;0;37;11;7;3;0;3;0;0;0;0;0;0
16;3;2;16;34;0;168;57;36;13;3;10;0;2;0;1;3;0
1;1;1;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
6;1;0;6;15;0;53;14;6;6;0;6;0;0;0;0;0;0
14;3;2;14;16;0;130;39;30;13;0;11;2;1;0;0;4;0
34;2;2;34;391;0;294;80;66;35;2;30;3;3;0;2;15;0
5;1;1;5;64;0;170;29;48;25;0;23;2;1;0;0;9;0
4;1;0;4;10;0;43;12;5;5;0;5;0;0;0;0;0;0
10;1;0;10;24;0;139;30;12;12;0;12;0;1;0;0;1;0
0;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
2;1;0;2;55;0;247;17;29;11;0;11;0;0;0;0;0;0
12;1;0;12;28;0;99;21;10;8;0;8;0;0;0;0;0;0
0;1;0;0;1;0;8;0;2;2;0;2;0;0;0;0;0;0
3;1;3;3;18;0;46;8;12;8;0;7;1;0;0;0;3;0
2;1;0;2;1;0;8;0;2;2;0;2;0;0;0;0;0;0
4;1;0;4;6;0;87;22;4;4;0;4;0;0;0;0;0;0
5;1;2;5;0;0;95;36;18;7;0;6;1;1;0;0;8;0
19;1;23;19;8646;0;134;0;132;132;0;0;0;0;0;0;0;0
1;6;2;1;1;0;23;7;4;2;0;2;0;0;0;0;0;0
5;1;6;5;0;0;63;15;17;12;0;12;0;1;0;0;2;0
3;1;0;3;6;0;44;12;4;4;0;4;0;0;0;0;0;0
2;1;0;2;28;0;35;1;11;8;0;8;0;0;0;0;0;0
4;2;7;4;3;3;21;3;5;3;0;3;0;0;0;0;0;0
6;1;2;6;9;0;43;8;10;7;1;6;0;3;0;1;2;0
0;1;2;0;45;0;12;0;10;10;0;0;0;0;0;0;0;0
5;1;0;5;15;0;88;16;10;6;0;6;0;0;0;0;0;0
14;4;2;14;63;0;205;50;38;23;0;21;2;6;0;5;9;0
24;3;4;24;1031;2;902;123;159;51;8;39;4;5;0;3;8;0
14;2;1;14;486;0;285;44;60;40;0;37;3;1;0;0;15;0
51;2;12;51;23250;2;2159;366;619;225;13;203;9;9;1;8;51;1
14;1;1;14;406;0;158;32;37;29;0;29;0;0;0;0;0;0
1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
4;1;1;4;1;0;35;7;2;2;0;1;1;1;0;0;1;0
5;1;4;5;6;0;148;22;48;4;0;3;0;0;0;0;0;0
6;1;0;6;3;0;30;9;3;3;0;3;0;0;0;0;0;0
15;7;2;15;20;0;211;33;48;13;1;11;1;0;0;0;3;0
10;1;0;10;10;0;45;15;5;5;0;5;0;0;0;0;0;0
16;4;2;16;16;0;246;58;62;9;3;6;0;1;1;0;1;0
6;2;2;6;25;0;63;16;16;10;0;8;2;2;0;0;2;0
1;2;3;1;0;0;18;0;4;4;0;4;0;2;0;0;2;0
2;1;1;2;0;0;12;4;2;2;0;2;0;0;0;0;1;0
7;1;2;7;78;0;118;24;31;13;8;5;0;1;0;0;1;0
4;1;0;4;10;0;45;9;5;5;0;5;0;0;0;0;0;0
3;2;1;3;0;0;17;1;4;4;0;4;0;0;0;0;1;0
2;1;2;2;1;0;4;0;2;2;0;0;0;0;0;0;0;0
4;1;0;4;8;0;93;18;5;5;0;5;0;1;0;0;2;0
4;1;0;4;10;0;33;9;5;5;0;5;0;0;0;0;0;0
4;1;5;4;1;0;26;3;2;2;0;2;0;0;0;0;0;0
1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8;1;4;8;61;0;178;39;44;22;0;21;1;1;0;0;4;1
3;1;0;3;3;0;20;6;3;3;0;3;0;0;0;0;0;0
2;2;2;2;10;0;75;26;13;5;1;4;0;1;0;0;1;0
3;1;3;3;153;0;20;0;18;18;0;0;0;0;0;0;0;0
5;2;2;5;45;0;40;5;12;10;0;10;0;2;0;1;1;0
4;1;0;4;10;0;85;16;5;5;0;5;0;0;0;0;0;0
0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
6;2;2;6;25;0;63;16;16;10;0;8;2;2;0;0;2;0
1;1;17;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
5;2;2;5;135;0;199;27;45;22;0;20;2;1;0;0;7;1
2;1;0;2;1;0;8;0;2;2;0;2;0;0;0;0;0;0
11;3;2;11;0;0;108;20;22;11;0;11;0;1;0;0;7;0
4;1;2;4;28;0;10;0;8;8;0;0;0;0;0;0;0;0
4;1;2;4;8;0;79;10;22;8;0;8;0;1;0;0;2;0
4;1;0;4;36;0;75;17;9;9;0;9;0;0;0;0;0;0
15;1;1;15;0;0;55;19;8;5;0;4;1;0;0;0;1;0
1;1;0;1;0;0;18;0;5;4;0;4;0;0;0;0;0;0
14;2;0;14;91;0;464;76;15;14;0;14;0;0;0;0;0;0
10;1;0;10;55;0;127;20;16;11;0;11;0;0;0;0;0;0
16;3;2;16;134;0;247;41;69;20;1;19;0;4;1;3;7;0
5;1;4;5;16;0;173;26;34;9;0;6;3;0;0;0;3;0
4;3;0;4;0;0;3;0;0;0;0;0;0;1;0;0;1;0
2;2;2;2;6;0;58;25;12;4;1;3;0;1;0;0;1;0
5;1;0;5;15;0;47;10;6;6;0;6;0;0;0;0;0;0
5;2;3;5;0;0;171;22;37;22;0;22;0;5;0;4;5;0
2;1;0;2;0;0;6;0;1;1;0;1;0;0;0;0;1;0
4;1;0;4;6;0;37;5;4;4;0;4;0;0;0;0;0;0
14;2;1;14;551;0;365;24;89;42;5;36;1;3;4;3;15;0
4;1;0;4;6;0;52;8;4;4;0;4;0;0;0;0;0;0
10;2;2;10;94;0;185;29;36;25;1;22;2;1;0;0;7;0
3;1;0;3;3;0;41;10;3;3;0;3;0;0;0;0;0;0
1;1;5;1;3;0;5;0;3;3;0;0;0;0;0;0;0;0
10;2;1;10;231;0;171;29;44;31;0;25;6;0;0;0;3;0
1;1;3;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
4;1;0;4;30;0;111;27;11;9;0;9;0;1;0;0;1;0
3;1;0;3;6;0;42;8;4;4;0;4;0;0;0;0;0;0
4;1;14;4;0;0;156;12;43;19;0;19;0;1;0;0;5;0
2;1;1;2;0;0;36;2;9;6;0;6;0;0;0;0;2;0
3;2;0;3;10;0;98;16;6;5;0;5;0;0;0;0;0;0
1;1;4;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
2;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2;2;1;2;21;0;53;7;12;7;0;7;0;0;0;0;0;0
1;1;0;1;0;0;45;5;11;5;0;3;2;1;0;0;0;0
4;1;1;4;1;0;7;0;2;2;0;2;0;0;0;0;0;0
2;1;0;2;28;0;127;15;13;8;0;8;0;0;0;0;0;0
17;2;1;17;300;0;779;49;178;25;0;24;1;0;0;0;0;0
4;1;3;4;0;0;154;13;28;11;0;9;2;1;0;0;4;0
26;5;6;26;4503;1;1357;236;302;115;10;104;1;29;54;20;3;0
16;1;0;16;36;0;147;43;9;9;0;9;0;0;0;0;0;0
0;1;5;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
18;1;0;18;87;0;239;38;20;14;0;14;0;0;0;0;2;0
4;1;2;4;8;0;78;10;22;8;0;8;0;0;0;0;1;0
1;1;3;1;0;0;38;0;10;5;0;5;0;0;0;0;3;0
21;3;12;21;629;4;528;90;113;38;11;27;0;5;0;4;7;0
15;3;3;15;213;1;239;43;50;31;0;29;2;6;0;5;13;0
16;3;3;16;1;1;154;56;31;7;0;7;0;1;0;0;2;0
18;4;1;18;92;0;367;64;72;21;7;12;2;3;0;2;5;0
4;2;11;4;0;3;35;2;9;5;0;5;0;0;0;0;2;0
33;1;28;33;1920;0;671;119;158;73;3;67;3;7;0;6;18;0
28;5;8;28;652;2;536;100;147;44;1;39;4;1;0;0;16;0
5;6;1;5;19;0;96;24;19;7;1;4;2;3;0;0;3;0
2;1;1;2;1;0;4;0;2;2;0;0;0;0;0;0;0;0
